REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
National,X,2015,40,1139,4,65,2,10,0,1,0
National,X,2015,41,1152,5,41,2,7,3,0,0
National,X,2015,42,1198,10,50,1,8,3,2,0
National,X,2015,43,1244,9,31,4,9,1,4,0
National,X,2015,44,1465,4,23,4,9,1,4,0
National,X,2015,45,1393,11,34,1,10,4,2,0
National,X,2015,46,1458,17,42,1,4,0,4,0
National,X,2015,47,1157,17,24,0,4,3,9,0
National,X,2015,48,1550,27,36,3,9,3,12,0
National,X,2015,49,1518,38,37,3,11,2,11,0
National,X,2015,50,1475,69,39,0,10,4,19,0
National,X,2015,51,1245,89,33,1,12,3,28,0
National,X,2015,52,1485,146,56,1,13,9,35,0
National,X,2016,1,1841,232,68,2,14,12,52,0
National,X,2016,2,1748,256,89,5,47,23,60,0
National,X,2016,3,1946,361,100,13,45,25,83,0
National,X,2016,4,2568,526,160,15,97,28,104,0
National,X,2016,5,2727,672,171,13,98,62,143,0
National,X,2016,6,3202,891,236,17,161,71,206,0
National,X,2016,7,3898,1340,256,19,179,103,309,0
National,X,2016,8,4551,1672,232,28,215,156,383,0
National,X,2016,9,4687,1886,313,32,211,143,347,0
National,X,2016,10,5095,2173,313,47,246,162,333,0
National,X,2016,11,4111,1514,213,24,185,154,278,0
National,X,2016,12,3357,1058,198,19,185,117,207,0
National,X,2016,13,3071,807,180,33,208,127,211,0
National,X,2016,14,2403,534,135,33,173,106,163,0
National,X,2016,15,2090,383,117,16,148,88,162,0
National,X,2016,16,1816,276,127,16,158,86,163,0
National,X,2016,17,1491,167,98,5,94,78,119,0
National,X,2016,18,1125,77,59,2,80,53,82,0
National,X,2016,19,1019,53,62,2,53,36,71,0
National,X,2016,20,816,35,77,4,44,14,50,0
National,X,2016,21,639,16,44,2,30,22,32,0
National,X,2016,22,482,4,13,1,24,14,35,0
National,X,2016,23,464,5,15,1,14,6,17,0
National,X,2016,24,424,7,18,0,6,6,10,0
National,X,2016,25,320,5,22,0,10,9,11,0
National,X,2016,26,325,3,18,3,4,6,9,0
National,X,2016,27,271,2,18,0,5,5,9,0
